x,y
-104.486458,71.029374
-105.281147,72.826276
-106.762188,73.299611
-108.245975,73.172961
-107.755245,71.603113
-109.900969,72.975204
-110.727092,72.962081
-109.745632,72.428626
-110.683452,72.574807
-111.008774,72.281529
-112.040284,72.275731
-111.186084,72.726787
-112.788281,72.994430
-114.524758,72.576028
-114.480201,73.376516
-118.497597,72.504311
-119.122301,71.772183
-117.743801,71.669642
-118.233921,71.394675
-115.037461,71.534142
-118.329747,71.044022
-117.683986,70.631724
-113.821012,70.715953
-111.443351,70.342412
-117.364767,70.039368
-117.311055,70.000000
0,0
-115.559930,74.994583
-114.030060,75.474937
-113.917449,75.052567
-111.041733,75.278096
-114.426490,74.695811
-112.357671,74.424201
-108.798352,75.073930
-106.000153,75.052567
-105.424887,75.853971
-106.569619,76.069734
-106.840925,75.650416
-108.000000,75.787442
-109.107500,76.825971
-110.415198,76.355077
-108.885328,75.480430
-111.224231,75.516747
-114.895857,76.521401
-115.898985,76.290379
-114.627604,76.170138
-116.730907,75.904936
-114.782330,75.897612
-117.217365,75.581445
-115.007553,75.699245
-117.663844,75.252155
-115.568170,74.993362
-115.559930,74.994583
0,0
-120.000000,75.950713
-119.758297,75.876249
-117.838407,76.829328
-117.068437,76.306249
-115.350881,77.314260
-117.000076,77.439689
-119.213245,77.311208
-120.000000,76.990768
0,0
-100.000000,78.589914
-100.356451,78.834363
-105.451743,79.336690
-104.986343,78.796826
-103.299001,78.734874
-104.436103,78.266423
-102.774395,78.396429
-100.000000,78.034791
0,0
-109.999847,77.920043
-113.168536,77.925536
-113.197833,77.524529
-110.879377,77.407950
-110.013886,77.918822
-109.999847,77.920043
0,0
-105.046769,72.994736
-104.499580,73.592889
-106.557412,73.708248
-107.009384,73.470817
